column_1,value,name,club,nation,position,age
1007,"€70.00m","João Cancelo","Manchester City",Portugal,Right-Back,28
1008,"€70.00m",Marquinhos,"Paris Saint-Germain",Brazil,Centre-Back,28
1009,"€65.00m","Wesley Fofana","Chelsea FC",France,Centre-Back,22
1010,"€60.00m","Nuno Mendes","Paris Saint-Germain",Portugal,Left-Back,20
1011,"€60.00m","Ronald Araújo","FC Barcelona",Uruguay,Centre-Back,23
1012,"€60.00m","Jules Koundé","FC Barcelona",France,Centre-Back,24
1013,"€60.00m","Éder Militão","Real Madrid",Brazil,Centre-Back,24
1014,"€60.00m","Cristian Romero","Tottenham Hotspur",Argentina,Centre-Back,24
1015,"€60.00m","Dayot Upamecano","Bayern Munich",France,Centre-Back,24
1016,"€60.00m","Theo Hernández","AC Milan",France,Left-Back,25
1017,"€60.00m","Milan Skriniar","Inter Milan",Slovakia,Centre-Back,27
1018,"€55.00m","Alessandro Bastoni","Inter Milan",Italy,Centre-Back,23
1019,"€55.00m","Marc Cucurella","Chelsea FC",Spain,Left-Back,24
1020,"€55.00m","Andrew Robertson","Liverpool FC",Scotland,Left-Back,28
1021,"€55.00m","David Alaba","Real Madrid",Austria,Centre-Back,30
1022,"€50.00m","William Saliba","Arsenal FC",France,Centre-Back,21
1023,"€50.00m","Lisandro Martínez","Manchester United",Argentina,Centre-Back,24
1024,"€50.00m","Pau Torres","Villarreal CF",Spain,Centre-Back,25
1025,"€50.00m","Fikayo Tomori","AC Milan",England,Centre-Back,25
1026,"€50.00m","Lucas Hernández","Bayern Munich",France,Centre-Back,26
1027,"€50.00m","Virgil van Dijk","Liverpool FC",Netherlands,Centre-Back,31
1028,"€45.00m","Jurrien Timber","Ajax Amsterdam",Netherlands,Centre-Back,21
1029,"€45.00m","Ben White","Arsenal FC",England,Centre-Back,25
1030,"€40.00m",Bremer,"Juventus FC",Brazil,Centre-Back,25
1031,"€40.00m","Benoît Badiashile","AS Monaco",France,Centre-Back,21
1032,"€40.00m","Gabriel Magalhães","Arsenal FC",Brazil,Centre-Back,25
1033,"€40.00m","Ferland Mendy","Real Madrid",France,Left-Back,27
1034,"€40.00m","Presnel Kimpembe","Paris Saint-Germain",France,Centre-Back,27
1035,"€40.00m","José María Giménez","Atlético de Madrid",Uruguay,Centre-Back,27
1036,"€40.00m","José Gayà","Valencia CF",Spain,Left-Back,27
1037,"€40.00m","Raphaël Varane","Manchester United",France,Centre-Back,29
1038,"€40.00m","Antonio Rüdiger","Real Madrid",Germany,Centre-Back,29
1039,"€38.00m","Sven Botman","Newcastle United",Netherlands,Centre-Back,22
1040,"€38.00m","Ben Chilwell","Chelsea FC",England,Left-Back,26
1041,"€38.00m","Aymeric Laporte","Manchester City",Spain,Centre-Back,28
1042,"€35.00m","Pierre Kalulu","AC Milan",France,Centre-Back,22
1043,"€35.00m","Min-jae Kim","SSC Napoli","Korea, South",Centre-Back,26
1044,"€35.00m","Marc Guéhi","Crystal Palace",England,Centre-Back,22
1045,"€35.00m","Ibrahima Konaté","Liverpool FC",France,Centre-Back,23
1046,"€35.00m","Benjamin Pavard","Bayern Munich",France,Right-Back,26
1047,"€35.00m","Robin Le Normand","Real Sociedad",France,Centre-Back,26
1048,"€35.00m","Niklas Süle","Borussia Dortmund",Germany,Centre-Back,27
1049,"€35.00m","Kalidou Koulibaly","Chelsea FC",Senegal,Centre-Back,31
1050,"€33.00m","Nico Schlotterbeck","Borussia Dortmund",Germany,Centre-Back,23
1051,"€32.00m","Evan Ndicka","Eintracht Frankfurt",France,Centre-Back,23
1052,"€32.00m","Diogo Dalot","Manchester United",Portugal,Right-Back,23
1053,"€32.00m","Joachim Andersen","Crystal Palace",Denmark,Centre-Back,26
1054,"€32.00m","Oleksandr Zinchenko","Arsenal FC",Ukraine,Left-Back,26
1055,"€32.00m","Kurt Zouma","West Ham United",France,Centre-Back,28
1056,"€30.00m","Edmond Tapsoba","Bayer 04 Leverkusen","Burkina Faso",Centre-Back,23
1057,"€30.00m","Emerson Royal","Tottenham Hotspur",Brazil,Right-Back,23
1058,"€30.00m","Diego Carlos","Aston Villa",Brazil,Centre-Back,29
1059,"€30.00m","Kieran Tierney","Arsenal FC",Scotland,Left-Back,25
1060,"€30.00m","Manuel Akanji","Manchester City",Switzerland,Centre-Back,27
1061,"€30.00m","Joe Gomez","Liverpool FC",England,Centre-Back,25
1062,"€30.00m","Andreas Christensen","FC Barcelona",Denmark,Centre-Back,26
1063,"€30.00m","John Stones","Manchester City",England,Centre-Back,28
1064,"€30.00m","Harry Maguire","Manchester United",England,Centre-Back,29
1065,"€30.00m","Nathan Aké","Manchester City",Netherlands,Centre-Back,27
1066,"€30.00m","Eric Dier","Tottenham Hotspur",England,Centre-Back,28
1067,"€28.00m","Tyrick Mitchell","Crystal Palace",England,Left-Back,23
1068,"€28.00m","Mohamed Simakan","RB Leipzig",France,Centre-Back,22
1069,"€28.00m","Noussair Mazraoui","Bayern Munich",Morocco,Right-Back,25
1070,"€28.00m","Timothy Castagne","Leicester City",Belgium,Right-Back,27
1071,"€28.00m","Luke Shaw","Manchester United",England,Left-Back,27
1072,"€27.00m","Roger Ibañez","AS Roma",Brazil,Centre-Back,24
1073,"€26.00m","David Raum","RB Leipzig",Germany,Left-Back,24
1074,"€25.00m","Piero Hincapié","Bayer 04 Leverkusen",Ecuador,Centre-Back,20
1075,"€25.00m","Pedro Porro","Sporting CP",Spain,Right-Back,23
1076,"€25.00m","Tino Livramento","Southampton FC",England,Right-Back,20
1077,"€25.00m","Jeremie Frimpong","Bayer 04 Leverkusen",Netherlands,Right-Back,22
1078,"€25.00m","Juan Foyth","Villarreal CF",Argentina,Right-Back,24
1079,"€25.00m","James Justin","Leicester City",England,Right-Back,24
1080,"€25.00m","Axel Disasi","AS Monaco",France,Centre-Back,24
1081,"€25.00m","Nayef Aguerd","West Ham United",Morocco,Centre-Back,26
1082,"€25.00m","Davinson Sánchez","Tottenham Hotspur",Colombia,Centre-Back,26
1083,"€25.00m","Kyle Walker-Peters","Southampton FC",England,Right-Back,25
1084,"€25.00m","Merih Demiral","Atalanta BC",Turkey,Centre-Back,24
1085,"€25.00m","Takehiro Tomiyasu","Arsenal FC",Japan,Right-Back,24
1086,"€25.00m","Davide Calabria","AC Milan",Italy,Right-Back,26
1087,"€25.00m","Amir Rrahmani","SSC Napoli",Kosovo,Centre-Back,28
1088,"€25.00m","Tyrone Mings","Aston Villa",England,Centre-Back,29
1089,"€25.00m","Reinildo Mandava","Atlético de Madrid",Mozambique,Left-Back,28
1090,"€25.00m","Federico Dimarco","Inter Milan",Italy,Left-Back,25
1091,"€25.00m","Giovanni Di Lorenzo","SSC Napoli",Italy,Right-Back,29
1092,"€23.00m","Gonçalo Inácio","Sporting CP",Portugal,Centre-Back,21
1093,"€22.00m","Rayan Aït-Nouri","Wolverhampton Wanderers",Algeria,Left-Back,21
1094,"€22.00m","Destiny Udogie","Udinese Calcio",Italy,Left-Back,20
1095,"€22.00m","Nathan Collins","Wolverhampton Wanderers",Ireland,Centre-Back,21
1096,"€22.00m","Matty Cash","Aston Villa",Poland,Right-Back,25
1097,"€22.00m","Nahuel Molina","Atlético de Madrid",Argentina,Right-Back,24
1098,"€22.00m","Ezri Konsa","Aston Villa",England,Centre-Back,25
1099,"€22.00m","Vitaliy Mykolenko","Everton FC",Ukraine,Left-Back,23
1100,"€22.00m","Trevoh Chalobah","Chelsea FC",England,Centre-Back,23
1101,"€22.00m","Rico Henry","Brentford FC",England,Left-Back,25
1102,"€22.00m","Tyrell Malacia","Manchester United",Netherlands,Left-Back,23
1103,"€22.00m","Caglar Söyüncü","Leicester City",Turkey,Centre-Back,26
1104,"€22.00m","Thilo Kehrer","West Ham United",Germany,Centre-Back,26
1105,"€22.00m","Adam Webster","Brighton & Hove Albion",England,Centre-Back,27
1106,"€22.00m","James Tarkowski","Everton FC",England,Centre-Back,30
1107,"€22.00m","Lucas Digne","Aston Villa",France,Left-Back,29
1108,"€20.00m","Odilon Kossounou","Bayer 04 Leverkusen","Cote d'Ivoire",Centre-Back,21
1109,"€20.00m","Castello Lukeba","Olympique Lyon",France,Centre-Back,20
1110,"€20.00m","Jean-Clair Todibo","OGC Nice",France,Centre-Back,23
1111,"€20.00m","Strahinja Pavlovic","Red Bull Salzburg",Serbia,Centre-Back,21
1112,"€20.00m","Giorgio Scalvini","Atalanta BC",Italy,Centre-Back,19
1113,"€20.00m","Max Kilman","Wolverhampton Wanderers",England,Centre-Back,25
1114,"€20.00m","David Carmo","FC Porto",Portugal,Centre-Back,23
1115,"€20.00m","Renan Lodi","Nottingham Forest",Brazil,Left-Back,24
1116,"€20.00m","Maxence Lacroix","VfL Wolfsburg",France,Centre-Back,22
1117,"€20.00m","Caio Henrique","AS Monaco",Brazil,Left-Back,25
1118,"€20.00m","Nikola Milenković","ACF Fiorentina",Serbia,Centre-Back,25
1119,"€20.00m","Pascal Struijk","Leeds United",Netherlands,Centre-Back,23
1120,"€20.00m","Arthur Theate","Stade Rennais FC",Belgium,Centre-Back,22
1121,"€20.00m","Pervis Estupiñán","Brighton & Hove Albion",Ecuador,Left-Back,24
1122,"€20.00m","Nordi Mukiele","Paris Saint-Germain",France,Right-Back,25
1123,"€20.00m","David García","CA Osasuna",Spain,Centre-Back,28
1124,"€20.00m","Borna Sosa","VfB Stuttgart",Croatia,Left-Back,24
1125,"€20.00m","Wout Faes","Leicester City",Belgium,Centre-Back,24
1126,"€20.00m","Ramy Bensebaini","Borussia Mönchengladbach",Algeria,Left-Back,27
1127,"€20.00m","Sergio Reguilón","Atlético de Madrid",Spain,Left-Back,26
1128,"€20.00m",Angeliño,"TSG 1899 Hoffenheim",Spain,Left-Back,25
1129,"€20.00m","Philipp Lienhart","SC Freiburg",Austria,Centre-Back,26
1130,"€20.00m","Jonathan Tah","Bayer 04 Leverkusen",Germany,Centre-Back,26
1131,"€20.00m","Álex Moreno","Real Betis Balompié",Spain,Left-Back,29
1132,"€20.00m","Alejandro Grimaldo","SL Benfica",Spain,Left-Back,27
1133,"€20.00m","Ben Davies","Tottenham Hotspur",Wales,Left-Back,29
1134,"€20.00m","Nico Elvedi","Borussia Mönchengladbach",Switzerland,Centre-Back,26
1135,"€20.00m","Raphaël Guerreiro","Borussia Dortmund",Portugal,Left-Back,29
1136,"€20.00m","Matthias Ginter","SC Freiburg",Germany,Centre-Back,28
1137,"€18.00m",Vanderson,"AS Monaco",Brazil,Right-Back,21
1138,"€18.00m","Aaron Hickey","Brentford FC",Scotland,Left-Back,20
1139,"€18.00m","Mohammed Salisu","Southampton FC",Ghana,Centre-Back,23
1140,"€18.00m","Neco Williams","Nottingham Forest",Wales,Right-Back,21
1141,"€18.00m","Aaron Wan-Bissaka","Manchester United",England,Right-Back,25
1142,"€18.00m","Max Aarons","Norwich City",England,Right-Back,22
1143,"€18.00m","Armel Bella-Kotchap","Southampton FC",Germany,Centre-Back,21
1144,"€18.00m","Eric García","FC Barcelona",Spain,Centre-Back,21
1145,"€18.00m","Calvin Bassey","Ajax Amsterdam",Nigeria,Centre-Back,23
1146,"€18.00m","Josip Sutalo","GNK Dinamo Zagreb",Croatia,Centre-Back,22
1147,"€18.00m","Alfonso Pedraza","Villarreal CF",Spain,Left-Back,26
1148,"€18.00m","Ben Godfrey","Everton FC",England,Centre-Back,24
1149,"€18.00m","Konstantinos Tsimikas","Liverpool FC",Greece,Left-Back,26
1150,"€18.00m","Robin Koch","Leeds United",Germany,Centre-Back,26
1151,"€18.00m","Moussa Niakhaté","Nottingham Forest",Senegal,Centre-Back,26
1152,"€18.00m","Yerry Mina","Everton FC",Colombia,Centre-Back,28
1153,"€18.00m","Tosin Adarabioyo","Fulham FC",England,Centre-Back,25
1154,"€18.00m","Gianluca Mancini","AS Roma",Italy,Centre-Back,26
1155,"€18.00m","Jan Bednarek","Aston Villa",Poland,Centre-Back,26
1156,"€18.00m","Nélson Semedo","Wolverhampton Wanderers",Portugal,Right-Back,29
1157,"€18.00m","Alessio Romagnoli","SS Lazio",Italy,Centre-Back,27
1158,"€18.00m","Iñigo Martínez","Athletic Bilbao",Spain,Centre-Back,31
1159,"€18.00m","Lewis Dunk","Brighton & Hove Albion",England,Centre-Back,31
1160,"€18.00m","Daniel Carvajal","Real Madrid",Spain,Right-Back,30
1161,"€18.00m","Conor Coady","Everton FC",England,Centre-Back,29
1162,"€17.00m","Marcos Senesi","AFC Bournemouth",Argentina,Centre-Back,25
1163,"€17.00m",Dodô,"ACF Fiorentina",Brazil,Right-Back,24
1164,"€17.00m","Chancel Mbemba","Olympique Marseille","DR Congo",Centre-Back,28
1165,"€17.00m","Jonny Otto","Wolverhampton Wanderers",Spain,Left-Back,28
1166,"€16.00m","Sergiño Dest","AC Milan","United States",Right-Back,22
1167,"€16.00m","Mason Holgate","Everton FC",England,Centre-Back,26
1168,"€16.00m","Kristoffer Ajer","Brentford FC",Norway,Centre-Back,24
1169,"€16.00m","Douglas Santos","Zenit St. Petersburg",Brazil,Left-Back,28
1170,"€16.00m","Joel Matip","Liverpool FC",Cameroon,Centre-Back,31
1171,"€15.00m",Morato,"SL Benfica",Brazil,Centre-Back,21
1172,"€15.00m","Ilya Zabarnyi","Dynamo Kyiv",Ukraine,Centre-Back,20
1173,"€15.00m","Adrien Truffert","Stade Rennais FC",France,Left-Back,21
1174,"€15.00m","António Silva","SL Benfica",Portugal,Centre-Back,19
1175,"€15.00m","Alejandro Balde","FC Barcelona",Spain,Left-Back,19
1176,"€15.00m","Malo Gusto","Olympique Lyon",France,Right-Back,19
1177,"€15.00m",Tuta,"Eintracht Frankfurt",Brazil,Centre-Back,23
1178,"€15.00m","Tariq Lamptey","Brighton & Hove Albion",Ghana,Right-Back,22
1179,"€15.00m","Lloyd Kelly","AFC Bournemouth",England,Centre-Back,24
1180,"€15.00m","Facundo Medina","RC Lens",Argentina,Centre-Back,23
1181,"€15.00m","Oumar Solet","Red Bull Salzburg",France,Centre-Back,22
1182,"€15.00m","Luiz Felipe","Real Betis Balompié",Italy,Centre-Back,25
1183,"€15.00m","Konstantinos Mavropanos","VfB Stuttgart",Greece,Centre-Back,25
1184,"€15.00m","Mathías Olivera","SSC Napoli",Uruguay,Left-Back,25
1185,"€15.00m","Rasmus Kristensen","Leeds United",Denmark,Right-Back,25
1186,"€15.00m","Sergio Gómez","Manchester City",Spain,Left-Back,22
1187,"€15.00m","Igor Zubeldia","Real Sociedad",Spain,Centre-Back,25
1188,"€15.00m","Manuel Lazzari","SS Lazio",Italy,Right-Back,29
1189,"€15.00m","Issa Diop","Fulham FC",France,Centre-Back,25
1190,"€15.00m","Attila Szalai",Fenerbahce,Hungary,Centre-Back,24
1191,"€15.00m","Yeray Álvarez","Athletic Bilbao",Spain,Centre-Back,27
1192,"€15.00m","Zeki Celik","AS Roma",Turkey,Right-Back,25
1193,"€15.00m","Matt Targett","Newcastle United",England,Left-Back,27
1194,"€15.00m","Abdou Diallo","RB Leipzig",Senegal,Centre-Back,26
1195,"€15.00m","Daniel Amartey","Leicester City",Ghana,Centre-Back,28
1196,"€15.00m","Benjamin Henrichs","RB Leipzig",Germany,Right-Back,25
1197,"€15.00m","Héctor Bellerín","FC Barcelona",Spain,Right-Back,27
1198,"€15.00m","Victor Lindelöf","Manchester United",Sweden,Centre-Back,28
1199,"€15.00m","Leonardo Spinazzola","AS Roma",Italy,Left-Back,29
1200,"€15.00m","Stefan de Vrij","Inter Milan",Netherlands,Centre-Back,30
1201,"€15.00m","Kyle Walker","Manchester City",England,Right-Back,32
1202,"€14.00m","Stephane Singo","Torino FC","Cote d'Ivoire",Right-Back,22
1203,"€14.00m","Dani Vivian","Athletic Bilbao",Spain,Centre-Back,23
1204,"€14.00m","Nathan Patterson","Everton FC",Scotland,Right-Back,21
1205,"€14.00m","Victor Nelsson",Galatasaray,Denmark,Centre-Back,24
1206,"€14.00m","Youcef Atal","OGC Nice",Algeria,Right-Back,26
1207,"€14.00m","Marash Kumbulla","AS Roma",Albania,Centre-Back,22
1208,"€14.00m","Joakim Maehle","Atalanta BC",Denmark,Left-Back,25
1209,"€14.00m","Thierry Correia","Valencia CF",Portugal,Right-Back,23
1210,"€14.00m","Guilherme Arana","Clube Atlético Mineiro",Brazil,Left-Back,25
1211,"€14.00m","Mario Hermoso","Atlético de Madrid",Spain,Centre-Back,27
1212,"€14.00m","Kevin Danso","RC Lens",Austria,Centre-Back,24
1213,"€14.00m","Alex Telles","Sevilla FC",Brazil,Left-Back,30
1214,"€14.00m","Duje Caleta-Car","Southampton FC",Croatia,Centre-Back,26
1215,"€14.00m","Aritz Elustondo","Real Sociedad",Spain,Centre-Back,28
1216,"€14.00m","Lukas Klostermann","RB Leipzig",Germany,Right-Back,26
1217,"€14.00m","Michael Keane","Everton FC",England,Centre-Back,29
1218,"€14.00m","Marcos Acuña","Sevilla FC",Argentina,Left-Back,31
1219,"€13.00m","Taylor Harwood-Bellis","Burnley FC",England,Centre-Back,20
1220,"€13.00m","Djed Spence","Tottenham Hotspur",England,Right-Back,22
1221,"€13.00m","Ridle Baku","VfL Wolfsburg",Germany,Right-Back,24
1222,"€13.00m","Jeremiah St. Juste","Sporting CP",Netherlands,Centre-Back,26
1223,"€13.00m","Guillermo Maripán","AS Monaco",Chile,Centre-Back,28
1224,"€13.00m","Berat Djimsiti","Atalanta BC",Albania,Centre-Back,29
1225,"€13.00m","Kieran Trippier","Newcastle United",England,Right-Back,32
1226,"€12.50m","David Hancko","Feyenoord Rotterdam",Slovakia,Centre-Back,25
1227,"€12.00m","Chris Richards","Crystal Palace","United States",Centre-Back,22
1228,"€12.00m","João Mário","FC Porto",Portugal,Right-Back,23
1229,"€12.00m","Joe Scally","Borussia Mönchengladbach","United States",Right-Back,20
1230,"€12.00m","Ben Johnson","West Ham United",England,Right-Back,22
1231,"€12.00m","Javi Galán","Celta de Vigo",Spain,Left-Back,28
1232,"€12.00m","Ethan Pinnock","Brentford FC",Jamaica,Centre-Back,29
1233,"€12.00m",Marcão,"Sevilla FC",Brazil,Centre-Back,26
1234,"€12.00m","Tiago Djaló","LOSC Lille",Portugal,Centre-Back,22
1235,"€12.00m","Lutsharel Geertruida","Feyenoord Rotterdam",Netherlands,Right-Back,22
1236,"€12.00m","Perr Schuurs","Torino FC",Netherlands,Centre-Back,23
1237,"€12.00m","Gonzalo Montiel","Sevilla FC",Argentina,Right-Back,26
1238,"€12.00m","Junior Firpo","Leeds United","Dominican Republic",Left-Back,26
1239,"€12.00m","Ferdi Kadioglu",Fenerbahce,Turkey,Right-Back,23
1240,"€12.00m","Ko Itakura","Borussia Mönchengladbach",Japan,Centre-Back,25
1241,"€12.00m","Owen Wijndal","Ajax Amsterdam",Netherlands,Left-Back,23
1242,"€12.00m","Reece Oxford","FC Augsburg",England,Centre-Back,24
1243,"€12.00m","Maximilian Wöber","Leeds United",Austria,Centre-Back,24
1244,"€12.00m","Diego Llorente","Leeds United",Spain,Centre-Back,29
1245,"€12.00m","Ricardo Pereira","Leicester City",Portugal,Right-Back,29
1246,"€12.00m","Clément Lenglet","Tottenham Hotspur",France,Centre-Back,27
1247,"€12.00m",Emerson,"West Ham United",Italy,Left-Back,28
1248,"€12.00m","Matt Doherty","Tottenham Hotspur",Ireland,Right-Back,30
1249,"€12.00m",Danilo,"Juventus FC",Brazil,Right-Back,31
1250,"€12.00m","Dan Burn","Newcastle United",England,Centre-Back,30
1251,"€12.00m","Juan Bernat","Paris Saint-Germain",Spain,Left-Back,29
1252,"€11.00m",Igor,"ACF Fiorentina",Brazil,Centre-Back,24
1253,"€11.00m","Mykola Matvienko","Shakhtar Donetsk",Ukraine,Centre-Back,26
1254,"€10.00m","Loïc Badé","Sevilla FC",France,Centre-Back,22
1255,"€10.00m","Manu Sánchez","CA Osasuna",Spain,Left-Back,22
1256,"€10.00m","Levi Colwill","Brighton & Hove Albion",England,Centre-Back,19
1257,"€10.00m","Leonardo Balerdi","Olympique Marseille",Argentina,Centre-Back,23
1258,"€10.00m","Brandon Soppy","Atalanta BC",France,Right-Back,20
1259,"€10.00m",Zaidu,"FC Porto",Nigeria,Left-Back,25
1260,"€10.00m","Amar Dedic","Red Bull Salzburg",Bosnia-Herzegovina,Right-Back,20
1261,"€10.00m","Brandon Williams","Manchester United",England,Left-Back,22
1262,"€10.00m","Luke Thomas","Leicester City",England,Left-Back,21
1263,"€10.00m","Mattia Viti","OGC Nice",Italy,Centre-Back,20
1264,"€10.00m","Caleb Okoli","Atalanta BC",Italy,Centre-Back,21
1265,"€10.00m","Rodrigo Becão","Udinese Calcio",Brazil,Centre-Back,26
1266,"€10.00m","Edgar González","Real Betis Balompié",Spain,Centre-Back,25
1267,"€10.00m","Anel Ahmedhodzic","Sheffield United",Bosnia-Herzegovina,Centre-Back,23
1268,"€10.00m","Lucas Martínez Quarta","ACF Fiorentina",Argentina,Centre-Back,26
1269,"€10.00m","Jaka Bijol","Udinese Calcio",Slovenia,Centre-Back,23
1270,"€10.00m","Ozan Kabak","TSG 1899 Hoffenheim",Turkey,Centre-Back,22
1271,"€10.00m","Antonee Robinson","Fulham FC","United States",Left-Back,25
1272,"€10.00m","Romain Perraud","Southampton FC",France,Left-Back,25
1273,"€10.00m","Hamari Traoré","Stade Rennais FC",Mali,Right-Back,30
1274,"€10.00m","Andoni Gorosabel","Real Sociedad",Spain,Right-Back,26
1275,"€10.00m","Felix Uduokhai","FC Augsburg",Germany,Centre-Back,25
1276,"€10.00m","Samuel Gigot","Olympique Marseille",France,Centre-Back,29
1277,"€10.00m","Hans Hateboer","Atalanta BC",Netherlands,Right-Back,28
1278,"€10.00m","Scott McKenna","Nottingham Forest",Scotland,Centre-Back,26
1279,"€10.00m","Rob Holding","Arsenal FC",England,Centre-Back,27
1280,"€10.00m","Calum Chambers","Aston Villa",England,Centre-Back,27
1281,"€10.00m","Ruben Aguilar","AS Monaco",France,Right-Back,29
1282,"€10.00m","Fabian Schär","Newcastle United",Switzerland,Centre-Back,31
1283,"€10.00m","Joël Veltman","Brighton & Hove Albion",Netherlands,Right-Back,30
1284,"€10.00m","Willi Orbán","RB Leipzig",Hungary,Centre-Back,30
1285,"€10.00m","Christian Günter","SC Freiburg",Germany,Left-Back,29
1286,"€10.00m","James Tavernier","Rangers FC",England,Right-Back,31
1287,"€9.50m","Cameron Carter-Vickers","Celtic FC","United States",Centre-Back,25
1288,"€9.00m","Abakar Sylla","Club Brugge KV","Cote d'Ivoire",Centre-Back,20
1289,"€9.00m","Arnau Martínez","Girona FC",Spain,Right-Back,19
1290,"€9.00m","Kiliann Sildillia","SC Freiburg",France,Right-Back,20
1291,"€9.00m","Tanguy Nianzou","Sevilla FC",France,Centre-Back,20
1292,"€9.00m","Ian Maatsen","Burnley FC",Netherlands,Left-Back,20
1293,"€9.00m","Jhon Lucumí","Bologna FC 1909",Colombia,Centre-Back,24
1294,"€9.00m","Ethan Ampadu","Spezia Calcio",Wales,Centre-Back,22
1295,"€9.00m","Nicolò Casale","SS Lazio",Italy,Centre-Back,24
1296,"€9.00m","Josip Juranovic","Celtic FC",Croatia,Right-Back,27
1297,"€9.00m","Mitchel Bakker","Bayer 04 Leverkusen",Netherlands,Left-Back,22
1298,"€9.00m","Bright Osayi-Samuel",Fenerbahce,Nigeria,Right-Back,25
1299,"€9.00m","Diogo Leite","1.FC Union Berlin",Portugal,Centre-Back,23
1300,"€9.00m","Luca Pellegrini","Eintracht Frankfurt",Italy,Left-Back,23
1301,"€9.00m","Japhet Tanganga","Tottenham Hotspur",England,Centre-Back,23
1302,"€9.00m","Joe Rodon","Stade Rennais FC",Wales,Centre-Back,25
1303,"€9.00m","Gustavo Gómez","Sociedade Esportiva Palmeiras",Paraguay,Centre-Back,29
1304,"€9.00m","Rick Karsdorp","AS Roma",Netherlands,Right-Back,27
1305,"€9.00m","Vladimir Coufal","West Ham United","Czech Republic",Right-Back,30
1306,"€9.00m","Nicolás Tagliafico","Olympique Lyon",Argentina,Left-Back,30
1307,"€9.00m","Marcos Alonso","FC Barcelona",Spain,Left-Back,32
1308,"€9.00m","Stefan Savic","Atlético de Madrid",Montenegro,Centre-Back,31
1309,"€8.50m","Stanley Nsoki","TSG 1899 Hoffenheim",France,Centre-Back,23
1310,"€8.50m","Sebastiaan Bornauw","VfL Wolfsburg",Belgium,Centre-Back,23
1311,"€8.00m",Kaiky,"UD Almería",Brazil,Centre-Back,18
1312,"€8.00m","Warmed Omari","Stade Rennais FC",France,Centre-Back,22
1313,"€8.00m","Jacob Greaves","Hull City",England,Centre-Back,22
1314,"€8.00m","João Victor","SL Benfica",Brazil,Centre-Back,24
1315,"€8.00m",Abner,"Club Athletico Paranaense",Brazil,Left-Back,22
1316,"€8.00m",Matheuzinho,"CR Flamengo",Brazil,Right-Back,22
1317,"€8.00m","Micky van de Ven","VfL Wolfsburg",Netherlands,Centre-Back,21
1318,"€8.00m","Devyne Rensch","Ajax Amsterdam",Netherlands,Right-Back,19
1319,"€8.00m","Zeno Debast","RSC Anderlecht",Belgium,Centre-Back,19
1320,"€8.00m","Fabiano Parisi","FC Empoli",Italy,Left-Back,22
1321,"€8.00m","Melvin Bard","OGC Nice",France,Left-Back,22
1322,"€8.00m","Miguel Gutiérrez","Girona FC",Spain,Left-Back,21
1323,"€8.00m","Ben Cabango","Swansea City",Wales,Centre-Back,22
1324,"€8.00m","Nehuén Pérez","Udinese Calcio",Argentina,Centre-Back,22
1325,"€8.00m","Josip Stanisic","Bayern Munich",Croatia,Right-Back,22
1326,"€8.00m","Carlos Cuesta","KRC Genk",Colombia,Centre-Back,23
1327,"€8.00m","Alexander Bah","SL Benfica",Denmark,Right-Back,25
1328,"€8.00m","Alejandro Catena","Rayo Vallecano",Spain,Centre-Back,28
1329,"€8.00m","Jakub Kiwior","Spezia Calcio",Poland,Centre-Back,22
1330,"€8.00m","Ghislain Konan","Al-Nassr FC","Cote d'Ivoire",Left-Back,27
1331,"€8.00m","Joe Worrall","Nottingham Forest",England,Centre-Back,25
1332,"€8.00m","Lucas Veríssimo","SL Benfica",Brazil,Centre-Back,27
1333,"€8.00m","Matheus Reis","Sporting CP",Brazil,Left-Back,27
1334,"€8.00m","Mouctar Diakhaby","Valencia CF",Guinea,Centre-Back,26
1335,"€8.00m","Jamal Lewis","Newcastle United","Northern Ireland",Left-Back,24
1336,"€8.00m","Malang Sarr","AS Monaco",France,Centre-Back,23
1337,"€8.00m","Fran García","Rayo Vallecano",Spain,Left-Back,23
1338,"€8.00m","Flavius Daniliuc","US Salernitana 1919",Austria,Centre-Back,21
1339,"€8.00m","Olivier Boscagli","PSV Eindhoven",France,Centre-Back,25
1340,"€8.00m","Eric Bailly","Olympique Marseille","Cote d'Ivoire",Centre-Back,28
1341,"€8.00m","Jason Denayer","FC Shabab Al-Ahli Dubai",Belgium,Centre-Back,27
1342,"€8.00m","Domingos Duarte","Getafe CF",Portugal,Centre-Back,27
1343,"€8.00m","Alexander Djiku","RC Strasbourg Alsace",Ghana,Centre-Back,28
1344,"€8.00m","Marvin Friedrich","Borussia Mönchengladbach",Germany,Centre-Back,27
1345,"€8.00m","Georgiy Dzhikiya","Spartak Moscow",Russia,Centre-Back,29
1346,"€8.00m","Connor Goldson","Rangers FC",England,Centre-Back,30
1347,"€8.00m","Chris Smalling","AS Roma",England,Centre-Back,33
1348,"€8.00m","Mário Rui","SSC Napoli",Portugal,Left-Back,31
1349,"€8.00m","Rafael Tolói","Atalanta BC",Italy,Centre-Back,32
1350,"€8.00m","César Azpilicueta","Chelsea FC",Spain,Right-Back,33
1351,"€7.50m","Daniel Muñoz","KRC Genk",Colombia,Right-Back,26
1352,"€7.50m","Nathan Silva","Clube Atlético Mineiro",Brazil,Centre-Back,25
